carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
14908,vw, Tiguan Allspace,2019,7971,145,39.2,2,26995,Automatic,Diesel
13431,merc, V Class,2019,5000,145,46.3,2.1,24990,Manual,Diesel
18937,audi, Q8,2020,3522,145,30.7,4,84496,Automatic,Diesel
18506,vw, Beetle,2017,30456,150,67.3,2,13981,Manual,Diesel
19464,bmw, 6 Series,2017,23954,260,36.7,3,23400,Automatic,Petrol
14547,ford, Tourneo Custom,2017,23838,150,44.8,2,19490,Manual,Diesel
16274,ford, Galaxy,2016,87180,125,56.5,2,14500,Manual,Diesel
15587,bmw, X4,2017,18441,145,54.3,2,23000,Semi-Auto,Diesel
16201,skoda, Kamiq,2019,458,150,49.6,1,16991,Manual,Petrol
15510,hyundi, Santa Fe,2019,5883,145,39.2,2.2,33791,Semi-Auto,Diesel
17859,bmw, X4,2019,1852,145,40.4,3,37980,Semi-Auto,Diesel
14084,vw, Amarok,2017,25624,260,36.2,3,25995,Automatic,Diesel
12842,ford, Edge,2018,12815,150,48.7,2,22795,Semi-Auto,Diesel
18313,vauxhall, Zafira Tourer,2017,21000,145,62.8,1.6,12295,Manual,Diesel
13822,vw, Caddy Life,2020,1700,150,51.4,2,22000,Manual,Diesel
13743,audi, RS3,2020,10,145,30.1,2.5,42490,Automatic,Petrol
15657,bmw, X4,2019,7414,145,42.8,2,35480,Semi-Auto,Diesel
13428,ford, KA,2013,22995,30,57.7,1.2,4391,Manual,Petrol
16488,ford, Grand C-MAX,2016,34883,30,61.4,2,11998,Manual,Diesel
17023,vw, Scirocco,2018,30532,145,53.3,2,16495,Manual,Diesel
15880,ford, Mustang,2019,1055,145,22.1,5,37991,Automatic,Petrol
16626,bmw, 7 Series,2020,3500,145,42.2,3,53995,Semi-Auto,Diesel
18385,toyota, Prius,2010,67000,0,70.6,1.8,6995,Automatic,Hybrid
19302,audi, A7,2019,15302,145,47.1,2,31720,Automatic,Diesel
19063,ford, Galaxy,2016,33883,125,56.5,2,14999,Manual,Diesel
16416,toyota, Prius,2018,44512,135,94.1,1.8,17995,Automatic,Hybrid
